,latitude,longitude,altitude,geometry,REGION,COUNCIL,WARD,SCHOOL_NAM,OWNERSHIP,REGISTRATI,LATITUDE,LONGITUDE,TOTAL_POPULATION
0,-3.3620171,36.6856885,,Point,ARUSHA,Arusha,Kiranyi,ALBEHIJE,Non-Government,EM.13504,-3.3620171,36.6856885,118.0
1,-3.3579834,36.6780255,,Point,ARUSHA,Arusha,Kiranyi,ARUSHA VICTORY,Non-Government,EM.14963,-3.3579834,36.6780255,213.0
2,-3.385133,36.5491474,,Point,ARUSHA,Arusha,Mateves,ASSALAF,Non-Government,EM.14964,-3.385133,36.5491474,432.0
3,-3.3403253,36.7431434,,Point,ARUSHA,Arusha,Bangata,BANGATA,Government,EM.1865,-3.3403253,36.7431434,414.0
4,-3.3639833,36.5626783,,Point,ARUSHA,Arusha,Mateves,BETHANY,Non-Government,EM.17663,-3.3639833,36.5626783,312.0
5,-3.36329,36.60316,,Point,ARUSHA,Arusha,Olorien,BLUE BELL,Non-Government,EM.17411,-3.36329,36.60316,402.0
6,-3.6076467,36.8447191,,Point,ARUSHA,Arusha,Bwawani,BWAWANI,Government,EM.4030,-3.6076467,36.8447191,357.0
7,-3.3773035,36.5862759,,Point,ARUSHA,Arusha,Mateves,DEANERY,Non-Government,EM.16671,-3.3773035,36.5862759,556.0
8,-3.4506519,36.7924085,,Point,ARUSHA,Arusha,Mlangarini,DINKA,Non-Government,EM.15916,-3.4506519,36.7924085,67.0
9,-3.9392741,36.360456,,Point,ARUSHA,Arusha,Sokon II,EBENEZER,Non-Government,EM.14754,-3.9392741,36.360456,78.0
10,-3.2983403,36.6267205,,Point,ARUSHA,Arusha,Olturumet,EKENYWA,Government,EM.11557,-3.2983403,36.6267205,712.0
11,-3.310745,36.645403,,Point,ARUSHA,Arusha,Olmotonyi,EKICA,Non-Government,EM.17488,-3.310745,36.645403,148.0
12,-3.3080883,36.6489966,,Point,ARUSHA,Arusha,Olmotonyi,EMAOI,Government,EM.6937,-3.3080883,36.6489966,1055.0
13,-3.3227865,36.6515627,,Point,ARUSHA,Arusha,Tarakwa,ENDOINYOESOYE,Government,EM.6938,-3.3227865,36.6515627,718.0
14,-3.2379416,36.5442366,,Point,ARUSHA,Arusha,Mwandet,ENGALAONI,Government,EM.4031,-3.2379416,36.5442366,1181.0
15,-3.3722475,36.7538238,,Point,ARUSHA,Arusha,Bangata,ENGIKARETI,Government,EM.14567,-3.3722475,36.7538238,423.0
16,-3.3472802,36.6992602,,Point,ARUSHA,Arusha,Moivo,ENGILANG'ET,Non-Government,EM.15190,-3.3472802,36.6992602,173.0
17,-3.2327941,36.6422835,,Point,ARUSHA,Arusha,Lemanyata,ENGORIKA,Government,EM.12373,-3.2327941,36.6422835,971.0
18,-3.0463618,36.7477283,,Point,ARUSHA,Arusha,Oldonyowass,ENGUTUKOIT,Government,EM.10548,-3.0463618,36.7477283,294.0
19,-3.4320129,36.6517247,,Point,ARUSHA,Arusha,Laroi,ENJORO,Government,EM.13505,-3.4320129,36.6517247,485.0
20,-3.3618709,36.6685859,,Point,ARUSHA,Arusha,Kiranyi,ENYUATA,Government,EM.7602,-3.3618709,36.6685859,794.0
21,-3.3373669,36.5598478,,Point,ARUSHA,Arusha,Musa,EUNOTO,Government,EM.14965,-3.3373669,36.5598478,557.0
22,-3.3551844,36.6921826,,Point,ARUSHA,Arusha,Moivo,GOODWILL,Non-Government,EM.14966,-3.3551844,36.6921826,215.0
23,-3.3475766,36.6696166,,Point,ARUSHA,Arusha,Kiranyi,GRACIOUS,Non-Government,EM.15917,-3.3475766,36.6696166,280.0
24,-3.3624253,36.7056632,,Point,ARUSHA,Arusha,Kiutu,GREEN ACRES,Non-Government,EM.9579,-3.3624253,36.7056632,883.0
25,-3.346742,36.7242141,,Point,ARUSHA,Arusha,Kiutu,GREEN PASTURES,Non-Government,EM.17505,-3.346742,36.7242141,495.0
26,-3.4711334,36.6567329,,Point,ARUSHA,Arusha,Laroi,HEDA,Non-Government,EM.17467,-3.4711334,36.6567329,237.0
27,-3.3394526,36.7407011,,Point,ARUSHA,Arusha,Bangata,IKIRWA,Non-Government,EM.15402,-3.3394526,36.7407011,153.0
28,-3.3641707,36.7056296,,Point,ARUSHA,Arusha,Ilboru,ILBORU,Government,EM.656,-3.3641707,36.7056296,1477.0
29,-3.3497765,36.6864527,,Point,ARUSHA,Arusha,Ilboru,ILBORU LUTHERAN,Non-Government,EM.16990,-3.3497765,36.6864527,379.0
